TILI;TILIN NIMI;TOSITE;PVM;DEBET;KREDIT;ALV;KP;SELITE;ALKUSALDO;KK-MUUTOS;KP-SALDO
3910.0;Muut tuotot;;;;;;;;0.0;;
3910.0;Muut tuotot;13-10-2025;2025-06-01;;-986.94;0.0;20.0;Tariq Omar;;;-986.94
;;;;0.0;-986.94;0.0;;;;-986.94;-986.94
3910.0;Muut tuotot;1-233-2025;2025-07-22;;-8000.0;0.0;99.0;HELSINGIN KAUPUNKI;;;-8986.94
;;;;0.0;-8000.0;0.0;;;;-8000.0;-8986.94
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-10601.93
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-12216.92
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-425.14;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-12642.06
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-14257.05
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-15872.04
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-911.0;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-16783.04
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-18398.03
3910.0;Muut tuotot;13-71-2025;2025-10-31;;-1614.99;0.0;70.0;Tuloutetaan palkkatuki (KEHA/74155 + PT272589);;;-20013.02
;;;;0.0;-11026.08;0.0;;;;-11026.08;-20013.02
3910.0;Yhteensä;;;0.0;-20013.02;0.0;;;;;
3960.0;Avustukset STM;;;;;;;;0.0;;
3960.0;Avustukset STM;60-1-2025;2025-02-11;;-33750.0;0.0;10.0;STEA 07483578 11..2.2025;;;-33750.0
;;;;0.0;-33750.0;0.0;;;;-33750.0;-33750.0
3960.0;Avustukset STM;1-111-2025;2025-04-01;;-30539.2;0.0;20.0;OPETUSHALLITUS;;;-64289.2
3960.0;Avustukset STM;60-4-2025;2025-04-25;;-33750.0;0.0;10.0;SOSIAALI- JA;;;-98039.2
;;;;0.0;-64289.2;0.0;;;;-64289.2;-98039.2
3960.0;Avustukset STM;13-9-2025;2025-05-01;;-16000.0;0.0;31.0;SOSIAALI- JA TERVEYSMINISTERIÖ 28.2.2025;;;-114039.2
3960.0;Avustukset STM;60-5-2025;2025-05-30;;-16000.0;0.0;31.0;SOSIAALI- JA;;;-130039.2
;;;;0.0;-32000.0;0.0;;;;-32000.0;-130039.2
3960.0;Avustukset STM;1-200-2025;2025-06-24;;-8088.0;0.0;20.0;OPETUSHALLITUS;;;-138127.2
;;;;0.0;-8088.0;0.0;;;;-8088.0;-138127.2
3960.0;Avustukset STM;60-6-2025;2025-08-01;;-33750.0;0.0;10.0;SOSIAALI- JA;;;-171877.2
3960.0;Avustukset STM;60-7-2025;2025-08-29;;-16000.0;0.0;31.0;SOSIAALI- JA;;;-187877.2
;;;;0.0;-49750.0;0.0;;;;-49750.0;-187877.2
3960.0;Avustukset STM;60-8-2025;2025-10-31;;-33750.0;0.0;10.0;SOSIAALI- JA;;;-221627.2
;;;;0.0;-33750.0;0.0;;;;-33750.0;-221627.2
3960.0;Yhteensä;;;0.0;-221627.2;0.0;;;;;
4900.0;Kuukausipalkat;;;;;;;;0.0;;
4900.0;Kuukausipalkat;13-13-2025;2025-06-01;2020.0;;0.0;70.0;Palkkaus.fi;;;2020.0
4900.0;Kuukausipalkat;13-14-2025;2025-06-01;2200.0;;0.0;6.0;Palkkaus.fi;;;4220.0
4900.0;Kuukausipalkat;13-15-2025;2025-06-01;3400.0;;0.0;10.0;Palkkaus.fi;;;7620.0
4900.0;Kuukausipalkat;13-16-2025;2025-06-01;2020.0;;0.0;99.0;Palkkaus.fi;;;9640.0
4900.0;Kuukausipalkat;13-17-2025;2025-06-01;3400.0;;0.0;10.0;Palkkaus.fi;;;13040.0
4900.0;Kuukausipalkat;13-18-2025;2025-06-01;3162.0;;0.0;10.0;Palkkaus.fi;;;16202.0
4900.0;Kuukausipalkat;13-19-2025;2025-06-01;4566.0;;0.0;31.0;Palkkaus.fi;;;20768.0
4900.0;Kuukausipalkat;13-20-2025;2025-06-01;2900.0;;0.0;10.0;Palkkaus.fi;;;23668.0
